ReservoirName,RecordTime,WaterStorageRate
德基水庫,2019-11-02,93.61
石岡壩,2019-11-02,69.33
霧社水庫,2019-11-02,36.41
日月潭水庫,2019-11-02,92.55
湖山水庫,2019-11-02,94.65
仁義潭水庫,2019-11-02,86.24
白河水庫,2019-11-02,17.94
烏山頭水庫,2019-11-02,88.71
曾文水庫,2019-11-02,78.47
南化水庫,2019-11-02,92.31
阿公店水庫,2019-11-02,93.66
牡丹水庫,2019-11-02,88.19
石門水庫,2019-02-08,65.14
新山水庫,2019-02-08,89.09
翡翠水庫,2019-02-08,86.5
寶山第二水庫,2019-02-08,38.87
永和山水庫,2019-02-08,43.02
明德水庫,2019-02-08,49.98
鯉魚潭水庫,2019-02-08,46.95
德基水庫,2019-02-08,54.34
石岡壩,2019-02-08,16.1
霧社水庫,2019-02-08,16.74
日月潭水庫,2019-02-08,89.46
湖山水庫,2019-02-08,45.61
仁義潭水庫,2019-02-08,57.13
白河水庫,2019-02-08,6.37
烏山頭水庫,2019-02-08,80.75
曾文水庫,2019-02-08,48.16
南化水庫,2019-02-08,61.93
阿公店水庫,2019-02-08,51.62
牡丹水庫,2019-02-08,62.2
石門水庫,2019-11-16,91.31
新山水庫,2019-11-16,77.19
翡翠水庫,2019-11-16,78.9
寶山第二水庫,2019-11-16,88.82
永和山水庫,2019-11-16,89.43
明德水庫,2019-11-16,65.62
鯉魚潭水庫,2019-11-16,89.33
德基水庫,2019-11-16,85.82
石岡壩,2019-11-16,59.9
霧社水庫,2019-11-16,11.08
日月潭水庫,2019-11-16,97.48
湖山水庫,2019-11-16,88.58
仁義潭水庫,2019-11-16,81.68
白河水庫,2019-11-16,17.37
烏山頭水庫,2019-11-16,86.74
曾文水庫,2019-11-16,73.92
南化水庫,2019-11-16,87.82
阿公店水庫,2019-11-16,93.28
牡丹水庫,2019-11-16,84.83
石門水庫,2019-04-26,62.94
新山水庫,2019-04-26,90.02
翡翠水庫,2019-04-26,73.68
寶山第二水庫,2019-04-26,100.0
永和山水庫,2019-04-26,70.29
明德水庫,2019-04-26,97.07
鯉魚潭水庫,2019-04-26,69.34
德基水庫,2019-04-26,80.13
石岡壩,2019-04-26,20.27
霧社水庫,2019-04-26,58.58
日月潭水庫,2019-04-26,96.92
湖山水庫,2019-04-26,22.79
仁義潭水庫,2019-04-26,26.11
烏山頭水庫,2019-04-26,77.21
曾文水庫,2019-04-26,16.78
南化水庫,2019-04-26,36.31
阿公店水庫,2019-04-26,17.71
牡丹水庫,2019-04-26,39.76
石門水庫,2019-08-17,98.12
新山水庫,2019-08-17,92.17
翡翠水庫,2019-08-17,73.23
寶山第二水庫,2019-08-17,98.56
永和山水庫,2019-08-17,97.08
明德水庫,2019-08-17,98.19
鯉魚潭水庫,2019-08-17,100.0
德基水庫,2019-08-17,92.1
石岡壩,2019-08-17,18.89
霧社水庫,2019-08-17,96.74
日月潭水庫,2019-08-17,94.98
湖山水庫,2019-08-17,99.65
仁義潭水庫,2019-08-17,98.28
白河水庫,2019-08-17,75.97
烏山頭水庫,2019-08-17,96.44
曾文水庫,2019-08-17,90.13
南化水庫,2019-08-17,100.0
阿公店水庫,2019-08-17,0.18
牡丹水庫,2019-08-17,72.29
石門水庫,2019-08-03,93.64
新山水庫,2019-08-03,95.96
翡翠水庫,2019-08-03,70.43
寶山第二水庫,2019-08-03,100.0
永和山水庫,2019-08-03,96.97
明德水庫,2019-08-03,85.96
鯉魚潭水庫,2019-08-03,100.0
德基水庫,2019-08-03,75.77
石岡壩,2019-08-03,58.28
霧社水庫,2019-08-03,48.24
日月潭水庫,2019-08-03,96.17
湖山水庫,2019-08-03,100.0
仁義潭水庫,2019-08-03,96.84
白河水庫,2019-08-03,58.61
烏山頭水庫,2019-08-03,84.68
曾文水庫,2019-08-03,85.38
南化水庫,2019-08-03,99.62
阿公店水庫,2019-08-03,0.02
牡丹水庫,2019-08-03,71.81
石門水庫,2019-06-30,97.69
